Description,Price,Rating,Review Count,Url
"Logitech G703 Lightspeed Wireless Gaming Mouse W/Hero 25K Sensor, PowerPlay Compatible, Lightsync RGB, Lightweight 95G+10G Optional, 100-25, 600 DPI, Rubber Side Grips - Black",$69.99,4.6 out of 5 stars,"(5,850)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02392761OG6UA4ZNBL64&qualifier=1673328832&id=4851894836706598&widgetName=sp_atf&url=%2FLogitech-Lightspeed-Lightsync-Compatible-Lightweight%2Fdp%2FB07NSSPV9S%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgaming%2Bmouse%26qid%3D1673328832%26sr%3D8-1-spons%26psc%3D1
"Logitech G203 Wired Gaming Mouse, 8,000 DPI, Rainbow Optical Effect LIGHTSYNC RGB, 6 Programmable Buttons, On-Board Memory, Screen Mapping, PC/Mac Computer and Laptop Compatible - Black",$19.88,4.7 out of 5 stars,"(13,000)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A026491429PNABEHMZDJ1&qualifier=1673328832&id=4851894836706598&widgetName=sp_atf&url=%2FLogitech-LIGHTSYNC-Wired-Gaming-Mouse%2Fdp%2FB07YN82X3B%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgaming%2Bmouse%26qid%3D1673328832%26sr%3D8-2-spons%26psc%3D1
"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac",$33.41,4.7 out of 5 stars,"(52,427)",https://www.amazon.com/Logitech-G502-Performance-Gaming-Mouse/dp/B07GBZ4Q68/ref=sr_1_3?keywords=gaming+mouse&qid=1673328832&sr=8-3
"Logitech G305 LIGHTSPEED Wireless Gaming Mouse, Hero 12K Sensor, 12,000 DPI, Lightweight, 6 Programmable Buttons, 250h Battery Life, On-Board Memory, PC/Mac - Black",$29.99,4.7 out of 5 stars,"(21,514)",https://www.amazon.com/Logitech-LIGHTSPEED-Wireless-Gaming-Mouse/dp/B07CMS5Q6P/ref=sr_1_4?keywords=gaming+mouse&qid=1673328832&sr=8-4
Razer DeathAdder v2 Mini Gaming Mouse: 8500K DPI Optical Sensor - 62g Lightweight Design - Chroma RGB Lighting - 6 Programmable Buttons - Anti-Slip Grip Tape Included - Classic Black,$19.59,4.6 out of 5 stars,"(2,506)",https://www.amazon.com/Razer-DeathAdder-Mini-Gaming-Mouse/dp/B08B3K9K6P/ref=sr_1_5?keywords=gaming+mouse&qid=1673328832&sr=8-5
Razer DeathAdder V2 Gaming Mouse: 20K DPI Optical Sensor - Fastest Gaming Mouse Switch - Chroma RGB Lighting - 8 Programmable Buttons - Rubberized Side Grips - Classic Black,$34.99,4.7 out of 5 stars,"(15,514)",https://www.amazon.com/Razer-DeathAdder-Gaming-Mouse-Programmable/dp/B082G5SPR5/ref=sr_1_6?keywords=gaming+mouse&qid=1673328832&sr=8-6
"Honeycomb Wired Gaming Mouse, RGB Backlight and 7200 Adjustable DPI, Ergonomic and Lightweight USB Computer Mouse with High Precision Sensor for Windows PC & Laptop Gamers (White)",$14.99,4.5 out of 5 stars,(798),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A078558827X1JEMYA5W3K&qualifier=1673328832&id=4851894836706598&widgetName=sp_mtf&url=%2FHoneycomb-Backlight-Adjustable-Ergonomic-Lightweight%2Fdp%2FB0952T78F7%2Fref%3Dsr_1_7_sspa%3Fkeywords%3Dgaming%2Bmouse%26qid%3D1673328832%26sr%3D8-7-spons%26psc%3D1
Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Classic Black,$19.89,4.5 out of 5 stars,"(4,637)",https://www.amazon.com/Razer-DeathAdder-Essential-Gaming-Mouse/dp/B094PS5RZQ/ref=sr_1_8?keywords=gaming+mouse&qid=1673328832&sr=8-8
"Redragon Gaming Mouse, Wireless Mouse Gaming with RGB Backlit,8000 DPI,PC Gaming Mice with Fire Button, Macro Editing Programmable Mouse Gamer,70Hrs for Windows/Mac, Rechargeable, Black, M910-KS",$35.99,4.5 out of 5 stars,(202),https://www.amazon.com/Redragon-Wireless-Backlit-Programmable-Rechargeable/dp/B0B66RHD7B/ref=sr_1_9?keywords=gaming+mouse&qid=1673328832&sr=8-9
"Redragon M908 Impact RGB LED MMO Mouse with Side Buttons Optical Wired Gaming Mouse with 12,400DPI, High Precision, 20 Programmable Mouse Buttons",$32.89,4.5 out of 5 stars,"(10,342)",https://www.amazon.com/Redragon-Impact-Buttons-Precision-Programmable/dp/B07HC4NBQ8/ref=sr_1_10?keywords=gaming+mouse&qid=1673328832&sr=8-10
